name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime  
The Terror Within,R,Horror,1989,January 20  1989 (United States),4.8,1600,Thierry Notz,Thomas McKelvey Cleaver,Andrew Stevens,United States,0,858591,Concorde Pictures,88
Farewell to the King,PG-13,Action,1989,March 3  1989 (United States),6.3,2700,John Milius,Pierre Schoendoerffer,Nick Nolte,United States,20000000,2420917,Cine Location Services,117
See You in the Morning,PG-13,Drama,1989,April 21  1989 (United States),5.8,849,Alan J. Pakula,Alan J. Pakula,Jeff Bridges,United States,0,4795009,Lorimar Film Entertainment,119
I  Madman,R,Fantasy,1989,April 7  1989 (United States),6,2900,Tibor Takács,David Chaskin,Jenny Wright,Canada,0,,Trans World Entertainment (TWE),89
Immediate Family,PG-13,Drama,1989,October 27  1989 (United States),6,1500,Jonathan Kaplan,Barbara Benedek,Glenn Close,United States,14000000,5932613,Columbia Pictures,95
In Country,R,Drama,1989,September 29  1989 (United States),5.9,2700,Norman Jewison,Bobbie Ann Mason,Emily Lloyd,United States,18000000,3531971,Warner Bros.,120
Winter People,PG-13,Drama,1989,April 14  1989 (United States),6.2,1300,Ted Kotcheff,John Ehle,Kurt Russell,United States,0,2023282,Castle Rock Entertainment,110
Enemies  A Love Story,R,Comedy,1989,December 13  1989 (United States),6.6,2100,Paul Mazursky,Isaac Bashevis Singer,Ron Silver,United States,9500000,7754571,Morgan Creek Entertainment,119
American Ninja 3: Blood Hunt,R,Action,1989,February 24  1989 (United States),3.6,5000,Cedric Sundstrom,Avi Kleinberger,David Bradley,United States,0,902152,Breton Film Productions,89
Physical Evidence,R,Crime,1989,January 27  1989 (United States),5.1,1600,Michael Crichton,Steve Ransohoff,Burt Reynolds,United States,17000000,3560932,Columbia Pictures,99
Worth Winning,PG-13,Comedy,1989,October 27  1989 (United States),5.8,1600,Will Mackenzie,Dan Lewandowski,Mark Harmon,United States,0,3690328,A&M Films,103
Edge of Sanity,R,Horror,1989,April 14  1989 (United States),5.2,1300,Gérard Kikoïne,J.P. Félix,Anthony Perkins,United Kingdom,0,,Allied Vision,85
Brenda Starr,PG,Adventure,1989,April 15  1992 (United States),4.8,1000,Robert Ellis Miller,Noreen Stone,Brooke Shields,United States,16000000,67878,AM/PM Entertainment,93
How I Got Into College,PG-13,Comedy,1989,May 19  1989 (United States),5.8,2100,Savage Steve Holland,Terrel Seltzer,Anthony Edwards,United States,10000000,1642239,Twentieth Century Fox,86
Mortal Passions,R,Crime,1989,January 26  1990 (United States),4.5,274,Andrew Lane,Alan Moskowitz,Zach Galligan,United States,0,,Gibraltar Entertainment,92
Old Gringo,R,Adventure,1989,October 6  1989 (United States),5.8,1800,Luis Puenzo,Carlos Fuentes,Jane Fonda,United States,34000000,3574256,Columbia Pictures,119
Relentless,R,Crime,1989,August 30  1989 (United States),5.9,1400,William Lustig,Phil Alden Robinson,Judd Nelson,United States,4000000,6985999,Cinetel Films,92
Cheetah,G,Adventure,1989,August 18  1989 (United States),6,943,Jeff Blyth,Alan Caillou,Keith Coogan,United States,5000000,8153677,Silver Screen Partners III,83
Monsieur Hire,PG-13,Crime,1989,June 1990 (United States),7.6,6100,Patrice Leconte,Georges Simenon,Michel Blanc,France,0,1417030,Cinéa,81
Prancer,G,Drama,1989,November 17  1989 (United States),6.4,4800,John D. Hancock,Greg Taylor,Sam Elliott,United States,0,18587135,Cineplex Odeon Films,103
Too Beautiful for You,R,Comedy,1989,April 1990 (United States),6.8,2600,Bertrand Blier,Bertrand Blier,Gérard Depardieu,France,0,1776440,Ciné Valse,91
Getting It Right,R,Comedy,1989,May 5  1989 (United States),6.4,659,Randal Kleiser,Elizabeth Jane Howard,Jesse Birdsall,United Kingdom,0,960385,Management Company Entertainment Group (MCEG),102
Rude Awakening,R,Comedy,1989,August 16  1989 (United States),4.8,1200,David Greenwalt,Neil Levy,Cheech Marin,United States,10000000,3169719,Aaron Russo Entertainment,100
Cookie,R,Comedy,1989,August 23  1989 (United States),5.4,1200,Susan Seidelman,Nora Ephron,Peter Falk,United States,0,1869417,Lorimar Film Entertainment,94
Bloodhounds of Broadway,PG,Comedy,1989,November 3  1989 (United States),5.5,1200,Howard Brookner,Howard Brookner,Josef Sommer,United States,4000000,43671,American Playhouse Theatrical Films,93
The Toxic Avenger Part III: The Last Temptation of Toxie,R,Action,1989,November 24  1989 (United States),4.4,4300,Michael Herz,Lloyd Kaufman,Ron Fazio,United States,0,363561,Troma Entertainment,102
River of Death,R,Action,1989,September 29  1989 (United States),4.3,1100,Steve Carver,Alistair MacLean,Michael Dudikoff,United States,0,,Breton Film Productions,107
Staying Together,R,Comedy,1989,November 10  1989 (United States),6.2,761,Lee Grant,Monte Merrick,Sean Astin,United States,0,4348025,,91
Fast Food,PG-13,Comedy,1989,April 28  1989 (United States),4.5,653,Michael A. Simpson,Scott B. Sowers,Clark Brandon,United States,0,,Double Helix Films,92
Martians Go Home,PG-13,Comedy,1989,April 20  1990 (United States),3.1,666,David Odell,Fredric Brown,Randy Quaid,United States,0,129778,Edward R. Pressman Productions,89
Night Game,R,Crime,1989,September 15  1989 (United States),4.9,710,Peter Masterson,Spencer Eastman,Roy Scheider,United States,0,337812,Epic Productions,95
Romero,PG-13,Biography,1989,August 25  1989 (United States),7.2,2100,John Duigan,John Sacret Young,Raul Julia,United States,0,1316495,Paulist Pictures,102
84C MoPic,R,Drama,1989,April 7  1989 (United States),6.9,1700,Patrick Sheane Duncan,Patrick Sheane Duncan,Jonathan Emerson,United States,0,,Charlie Mopic,95
Rosalie Goes Shopping,PG,Comedy,1989,May 1990 (United States),5.8,877,Percy Adlon,Christopher Doherty,Marianne Sägebrecht,United States,0,574080,Bayerischer Rundfunk (BR),94
True Love,R,Comedy,1989,September 15  1989 (United States),6,696,Nancy Savoca,Nancy Savoca,Annabella Sciorra,United States,0,1354268,United Artists,104
Second Sight,PG,Comedy,1989,November 3  1989 (United States),4.4,1300,Joel Zwick,Tom Schulman,John Larroquette,United States,0,5368865,Lorimar Film Entertainment,83
A Chorus of Disapproval,PG,Comedy,1989,November 3  1989 (United Kingdom),5.6,776,Michael Winner,Alan Ayckbourn,Jeremy Irons,United Kingdom,0,216373,Curzon Films,92
The Lemon Sisters,PG-13,Comedy,1989,August 31  1990 (United States),5,694,Joyce Chopra,Jeremy Pikser,Diane Keaton,United States,9000000,3473905,Lightyear Entertainment,93
Breaking In,R,Adventure,1989,October 13  1989 (United States),6.1,1400,Bill Forsyth,John Sayles,Burt Reynolds,United States,6000000,1877618,Act III Communications,94
Crack House,R,Action,1989,November 10  1989 (United States),5.5,353,Michael Fischa,Blake Schaffer,Jim Brown,United States,0,862551,Silverman Entertainment,90
Goodfellas,R,Biography,1990,September 21  1990 (United States),8.7,1100000,Martin Scorsese,Nicholas Pileggi,Robert De Niro,United States,25000000,46963277,Warner Bros.,146
The Godfather: Part III,R,Crime,1990,December 25  1990 (United States),7.6,370000,Francis Ford Coppola,Mario Puzo,Al Pacino,United States,54000000,136861392,Paramount Pictures,162
Total Recall,R,Action,1990,June 1  1990 (United States),7.5,310000,Paul Verhoeven,Philip K. Dick,Arnold Schwarzenegger,United States,65000000,261317921,Carolco Pictures,113
Pretty Woman,R,Comedy,1990,March 23  1990 (United States),7,299000,Garry Marshall,J.F. Lawton,Richard Gere,United States,14000000,463406268,Touchstone Pictures,119
Home Alone,PG,Comedy,1990,November 16  1990 (United States),7.6,501000,Chris Columbus,John Hughes,Macaulay Culkin,United States,18000000,476684675,Hughes Entertainment,103
Ghost,PG-13,Drama,1990,July 13  1990 (United States),7.1,203000,Jerry Zucker,Bruce Joel Rubin,Patrick Swayze,United States,22000000,505703557,Paramount Pictures,127
Dances with Wolves,PG-13,Adventure,1990,November 21  1990 (United States),8,247000,Kevin Costner,Michael Blake,Kevin Costner,United States,22000000,424208848,Tig Productions,181
Tremors,PG-13,Comedy,1990,January 19  1990 (United States),7.1,126000,Ron Underwood,S.S. Wilson,Kevin Bacon,United States,11000000,16667084,Universal Pictures,96
Die Hard 2,R,Action,1990,July 3  1990 (United States),7.1,344000,Renny Harlin,Steven E. de Souza,Bruce Willis,United States,70000000,240031274,Twentieth Century Fox,124
Misery,R,Drama,1990,November 30  1990 (United States),7.8,191000,Rob Reiner,Stephen King,James Caan,United States,20000000,61276872,Castle Rock Entertainment,107
Kindergarten Cop,PG-13,Action,1990,December 21  1990 (United States),6.2,140000,Ivan Reitman,Murray Salem,Arnold Schwarzenegger,United States,15000000,201957688,Universal Pictures,111
The Bonfire of the Vanities,R,Comedy,1990,December 21  1990 (United States),5.6,22000,Brian De Palma,Michael Cristofer,Tom Hanks,United States,47000000,15691192,Warner Bros.,125
Teenage Mutant Ninja Turtles,PG,Action,1990,March 30  1990 (United States),6.8,88000,Steve Barron,Kevin Eastman,Judith Hoag,United States,13500000,201965915,888 Productions,93
Edward Scissorhands,PG-13,Drama,1990,December 14  1990 (United States),7.9,456000,Tim Burton,Tim Burton,Johnny Depp,United States,20000000,86024005,Twentieth Century Fox,105
The Hunt for Red October,PG,Action,1990,March 2  1990 (United States),7.6,186000,John McTiernan,Tom Clancy,Sean Connery,United States,30000000,200512643,Paramount Pictures,135
Dick Tracy,PG,Action,1990,June 15  1990 (United States),6.1,59000,Warren Beatty,Chester Gould,Warren Beatty,United States,47000000,162738726,Touchstone Pictures,105
Awakenings,PG-13,Biography,1990,January 11  1991 (United States),7.8,130000,Penny Marshall,Oliver Sacks,Robert De Niro,United States,31000000,52096475,Columbia Pictures,121
The Handmaid's Tale,R,Drama,1990,March 9  1990 (United States),6,9100,Volker Schlöndorff,Margaret Atwood,Natasha Richardson,United States,0,4960385,Bioskop Film,108
Wild at Heart,R,Comedy,1990,August 17  1990 (United States),7.2,86000,David Lynch,Barry Gifford,Nicolas Cage,United States,9500000,14561425,PolyGram Filmed Entertainment,125
Predator 2,R,Action,1990,November 21  1990 (United States),6.3,151000,Stephen Hopkins,Jim Thomas,Danny Glover,United States,35000000,57120318,Davis Entertainment,108
RoboCop 2,R,Action,1990,June 22  1990 (United States),5.8,83000,Irvin Kershner,Edward Neumeier,Peter Weller,United States,25000000,45681173,Orion Pictures,117
The Witches,PG,Adventure,1990,August 24  1990 (United States),6.9,46000,Nicolas Roeg,Roald Dahl,Anjelica Huston,United Kingdom,0,10360553,Lorimar Film Entertainment,91
Jacob's Ladder,R,Drama,1990,November 2  1990 (United States),7.5,101000,Adrian Lyne,Bruce Joel Rubin,Tim Robbins,United States,25000000,26118851,Carolco Pictures,113
Back to the Future Part III,PG,Adventure,1990,May 25  1990 (United States),7.4,416000,Robert Zemeckis,Robert Zemeckis,Michael J. Fox,United States,40000000,245077583,Universal Pictures,118
Darkman,R,Action,1990,August 24  1990 (United States),6.4,60000,Sam Raimi,Sam Raimi,Liam Neeson,United States,14000000,48878502,Renaissance Pictures,96
The Hot Spot,R,Crime,1990,October 26  1990 (United States),6.4,11000,Dennis Hopper,Charles Williams,Don Johnson,United States,13000000,1293976,Orion Pictures,130
Cry-Baby,PG-13,Comedy,1990,April 6  1990 (United States),6.5,57000,John Waters,John Waters,Johnny Depp,United States,11000000,8266343,Universal Pictures,85
Presumed Innocent,R,Mystery,1990,July 27  1990 (United States),6.9,39000,Alan J. Pakula,Scott Turow,Harrison Ford,United States,22000000,221303188,Warner Bros.,127
Arachnophobia,PG-13,Comedy,1990,July 18  1990 (United States),6.4,65000,Frank Marshall,Don Jakoby,Jeff Daniels,United States,22000000,53208180,Hollywood Pictures,109
Days of Thunder,PG-13,Action,1990,June 27  1990 (United States),6.1,81000,Tony Scott,Robert Towne,Tom Cruise,United States,60000000,157920733,Don Simpson/Jerry Bruckheimer Films,107
King of New York,R,Crime,1990,January 5  1991 (United States),7,34000,Abel Ferrara,Nicholas St. John,Christopher Walken,Italy,5300000,2554476,Reteitalia,103
Gremlins 2: The New Batch,PG-13,Comedy,1990,June 15  1990 (United States),6.4,95000,Joe Dante,Chris Columbus,Zach Galligan,United States,50000000,41482207,Warner Bros.,106
Rocky V,PG-13,Drama,1990,November 16  1990 (United States),5.3,130000,John G. Avildsen,Sylvester Stallone,Sylvester Stallone,United States,42000000,119946358,United Artists,104
Young Guns II,PG-13,Action,1990,August 1  1990 (United States),6.5,32000,Geoff Murphy,John Fusco,Emilio Estevez,United States,20000000,44143410,Morgan Creek Entertainment,104
Miller's Crossing,R,Crime,1990,October 5  1990 (United States),7.7,128000,Joel Coen,Joel Coen,Gabriel Byrne,United States,14000000,5080409,Circle Films,115
Revenge,R,Action,1990,February 16  1990 (United States),6.2,17000,Tony Scott,Jim Harrison,Kevin Costner,United States,22000000,15645616,New World Pictures,124
Lord of the Flies,R,Adventure,1990,March 16  1990 (United States),6.4,28000,Harry Hook,William Golding,Balthazar Getty,United States,0,13985225,Castle Rock Entertainment,90
Nikita,R,Action,1990,April 1991 (United States),7.3,69000,Luc Besson,Luc Besson,Anne Parillaud,France,0,5017971,Gaumont,117
Mermaids,PG-13,Comedy,1990,December 14  1990 (United States),6.7,30000,Richard Benjamin,Patty Dann,Cher,United States,20000000,35419397,Orion Pictures,110
Child's Play 2,R,Horror,1990,November 9  1990 (United States),5.9,47000,John Lafia,Don Mancini,Alex Vincent,United States,13000000,35763605,Universal Pictures,84
Joe Versus the Volcano,PG,Comedy,1990,March 9  1990 (United States),5.8,35000,John Patrick Shanley,John Patrick Shanley,Tom Hanks,United States,25000000,39404261,Warner Bros.,102
Slacker,R,Comedy,1990,July 5  1991 (United States),7.1,20000,Richard Linklater,Richard Linklater,Richard Linklater,United States,23000,1228108,Detour Filmproduction,97
Flatliners,R,Drama,1990,August 10  1990 (United States),6.6,82000,Joel Schumacher,Peter Filardi,Kiefer Sutherland,United States,26000000,61489265,Columbia Pictures,115
Days of Being Wild,Not Rated,Crime,1990,December 15  1990 (Hong Kong),7.5,19000,Kar-Wai Wong,Jeffrey Lau,Leslie Cheung,Hong Kong,0,3106052,In-Gear Film,94
The Exorcist III,R,Drama,1990,August 17  1990 (United States),6.4,27000,William Peter Blatty,William Peter Blatty,George C. Scott,United States,0,39024251,Morgan Creek Entertainment,110
Quigley Down Under,PG-13,Action,1990,October 19  1990 (United States),6.9,21000,Simon Wincer,John Hill,Tom Selleck,Australia,20000000,21413105,Pathé Entertainment,119
Nightbreed,R,Action,1990,February 16  1990 (United States),6.5,21000,Clive Barker,Clive Barker,Craig Sheffer,United States,11000000,8862354,Morgan Creek Entertainment,102
The Two Jakes,R,Crime,1990,August 10  1990 (United States),6.2,12000,Jack Nicholson,Robert Towne,Jack Nicholson,United States,19000000,10005969,88 Productions,137
Lionheart,R,Action,1990,January 11  1991 (United States),6.2,34000,Sheldon Lettich,Stefani Warren,Jean-Claude Van Damme,United States,6000000,24271196,Imperial Entertainment Corporation,108
Internal Affairs,R,Crime,1990,January 12  1990 (United States),6.5,18000,Mike Figgis,Henry Bean,Richard Gere,United States,15000000,27734391,Paramount Pictures,115
Three Men and a Little Lady,PG,Comedy,1990,November 21  1990 (United States),5.5,23000,Emile Ardolino,Coline Serreau,Tom Selleck,United States,0,71609321,Touchstone Pictures,104
Problem Child,PG,Comedy,1990,July 27  1990 (United States),5.4,29000,Dennis Dugan,Scott Alexander,Michael Oliver,United States,10000000,72270891,Universal Pictures,81
The Grifters,R,Crime,1990,January 25  1991 (United States),6.9,26000,Stephen Frears,Jim Thompson,Anjelica Huston,United States,0,13446769,Cineplex Odeon Films,110
My Blue Heaven,PG-13,Comedy,1990,August 17  1990 (United States),6.3,19000,Herbert Ross,Nora Ephron,Steve Martin,United States,0,23591472,Hawn / Sylbert Movie Company,97
The Rescuers Down Under,G,Animation,1990,November 16  1990 (United States),6.9,40000,Hendel Butoy,Jim Cox,Bob Newhart,United States,30000000,27931461,Silver Screen Partners IV,77
House Party,R,Comedy,1990,March 9  1990 (United States),6.5,14000,Reginald Hudlin,Reginald Hudlin,Christopher Reid,United States,2500000,26385627,Jackson/McHenry Company The,100
Another 48 Hrs.,R,Action,1990,June 8  1990 (United States),5.9,40000,Walter Hill,John Fasano,Eddie Murphy,United States,38000000,153518974,Paramount Pictures,93
Night of the Living Dead,R,Horror,1990,October 19  1990 (United States),6.9,40000,Tom Savini,John A. Russo,Tony Todd,United States,4200000,5835247,21st Century Film Corporation,92
Pacific Heights,R,Thriller,1990,September 28  1990 (United States),6.4,19000,John Schlesinger,Daniel Pyne,Melanie Griffith,United States,18000000,44926706,Morgan Creek Entertainment,102
Postcards from the Edge,R,Comedy,1990,September 14  1990 (United States),6.7,16000,Mike Nichols,Carrie Fisher,Meryl Streep,United States,22000000,39071603,Columbia Pictures,101
Henry & June,NC-17,Biography,1990,October 5  1990 (United States),6.3,13000,Philip Kaufman,Anaïs Nin,Fred Ward,United States,0,23472449,Universal Pictures,136
Hard to Kill,R,Action,1990,February 9  1990 (United States),5.8,28000,Bruce Malmuth,Steven McKay,Steven Seagal,United States,10000000,47410827,Warner Bros.,96
Pump Up the Volume,R,Comedy,1990,August 22  1990 (United States),7.2,27000,Allan Moyle,Allan Moyle,Christian Slater,Canada,0,11541758,New Line Cinema,102
Hamlet,PG,Drama,1990,January 18  1991 (United States),6.7,22000,Franco Zeffirelli,William Shakespeare,Mel Gibson,United States,0,20710451,Icon Productions,135
The NeverEnding Story II: The Next Chapter,PG,Adventure,1990,February 8  1991 (United States),5.2,25000,George Miller,Karin Howard,Jonathan Brandis,Germany,36000000,17373527,Warner Bros.,89
Men at Work,PG-13,Action,1990,August 24  1990 (United States),6,23000,Emilio Estevez,Emilio Estevez,Charlie Sheen,United States,0,16247964,Epic Productions,98
Leatherface: Texas Chainsaw Massacre III,R,Horror,1990,January 12  1990 (United States),5.1,15000,Jeff Burr,Kim Henkel,Kate Hodge,United States,2000000,5765562,Nicolas Entertainment,85
Reversal of Fortune,R,Biography,1990,November 9  1990 (United States),7.2,15000,Barbet Schroeder,Alan Dershowitz,Jeremy Irons,United States,0,15445131,Sovereign Pictures,111
Frankenhooker,R,Comedy,1990,June 1  1990 (United States),6.2,9400,Frank Henenlotter,Robert Martin,James Lorinz,United States,2500000,205068,Levins-Henenlotter,85
State of Grace,R,Action,1990,September 14  1990 (United States),7.2,21000,Phil Joanou,Dennis McIntyre,Sean Penn,United Kingdom,18000000,1911542,Cinehaus,134
Bird on a Wire,PG-13,Action,1990,May 18  1990 (United States),6,42000,John Badham,Louis Venosta,Mel Gibson,United States,20000000,138697012,Universal Pictures,110
Memphis Belle,PG-13,Action,1990,October 12  1990 (United States),6.9,27000,Michael Caton-Jones,Monte Merrick,Matthew Modine,United Kingdom,23000000,27441977,Enigma Productions,107
The Adventures of Ford Fairlane,R,Action,1990,July 11  1990 (United States),6.4,17000,Renny Harlin,Daniel Waters,Andrew Dice Clay,United States,20000000,21413502,Twentieth Century Fox,104
Marked for Death,R,Action,1990,October 5  1990 (United States),6,21000,Dwight H. Little,Michael Grais,Steven Seagal,United States,12000000,57968936,Victor & Grais,93
Slumber Party Massacre III,R,Comedy,1990,September 7  1990 (United States),4.6,2500,Sally Mattison,Catherine Cyran,Keely Christian,United States,350000,1242995,Concorde Pictures,87
Dreams,PG,Drama,1990,August 24  1990 (United States),7.8,25000,Akira Kurosawa,Akira Kurosawa,Akira Terao,Japan,12000000,2970161,Warner Bros.,119
Air America,R,Action,1990,August 10  1990 (United States),5.8,27000,Roger Spottiswoode,Christopher Robbins,Mel Gibson,United States,35000000,33461269,Carolco Pictures,113
I Love You to Death,R,Comedy,1990,April 6  1990 (United States),6.4,14000,Lawrence Kasdan,John Kostmayer,Kevin Kline,United States,0,16186793,Chestnut Hill Productions,97
Class of 1999,R,Action,1990,May 11  1990 (United States),5.9,7000,Mark L. Lester,Mark L. Lester,Bradley Gregg,United States,5200000,2459895,Lightning Pictures,99
Death Warrant,R,Action,1990,September 14  1990 (United States),5.7,18000,Deran Sarafian,David S. Goyer,Jean-Claude Van Damme,United States,4000000,16853487,Cannon Films,89
White Palace,R,Drama,1990,October 26  1990 (United States),6.5,7700,Luis Mandoki,Glenn Savan,Susan Sarandon,United States,0,17487531,Universal Pictures,103
Close-Up,Not Rated,Biography,1990,October 30  1991 (France),8.3,17000,Abbas Kiarostami,Abbas Kiarostami,Hossain Sabzian,Iran,0,,Kanun parvaresh fekri,98
Quick Change,R,Comedy,1990,July 13  1990 (United States),6.8,20000,Howard Franklin,Jay Cronley,Bill Murray,United States,15000000,15260154,Devoted Productions,89
Hardware,R,Sci-Fi,1990,September 14  1990 (United States),6,13000,Richard Stanley,Steve MacManus,Dylan McDermott,United Kingdom,1500000,5728953,Palace Pictures,94
Mr. Destiny,PG-13,Comedy,1990,October 12  1990 (United States),6.4,12000,James Orr,James Orr,Jim Belushi,United States,20000000,15379253,Laurence Mark Productions,110
The Freshman,PG,Comedy,1990,July 27  1990 (United States),6.5,19000,Andrew Bergman,Andrew Bergman,Marlon Brando,United States,12000000,21460601,TriStar Pictures,102
Blue Steel,R,Action,1990,March 16  1990 (United States),5.7,13000,Kathryn Bigelow,Kathryn Bigelow,Jamie Lee Curtis,United States,0,8217997,Lightning Pictures,102
The Krays,R,Biography,1990,November 9  1990 (United States),6.6,7900,Peter Medak,Philip Ridley,Gary Kemp,United Kingdom,0,2060847,Fugitive TV Productions,115
Navy Seals,R,Action,1990,July 20  1990 (United States),5.6,16000,Lewis Teague,Chuck Pfarrer,Charlie Sheen,United States,20000000,25069101,Orion Pictures,113
Graveyard Shift,R,Horror,1990,October 26  1990 (United States),4.9,10000,Ralph S. Singleton,Stephen King,David Andrews,United States,10500000,11582891,Paramount Pictures,89
The Sheltering Sky,R,Adventure,1990,December 12  1990 (United States),6.8,12000,Bernardo Bertolucci,Paul Bowles,Debra Winger,United Kingdom,25000000,2075084,Recorded Picture Company (RPC),138
Dark Angel,R,Action,1990,September 28  1990 (United States),6.1,11000,Craig R. Baxley,Jonathan Tydor,Dolph Lundgren,United States,7000000,4348368,Vision PDG,91
The Comfort of Strangers,R,Drama,1990,April 1991 (United States),6.3,5000,Paul Schrader,Ian McEwan,Christopher Walken,United States,0,1244381,Erre Produzioni,107
Mo' Better Blues,R,Drama,1990,August 3  1990 (United States),6.6,12000,Spike Lee,Spike Lee,Denzel Washington,United States,10000000,16153593,Universal Pictures,130
Welcome Home  Roxy Carmichael,PG-13,Comedy,1990,October 12  1990 (United States),5.9,5000,Jim Abrahams,Karen Leigh Hopkins,Winona Ryder,United Kingdom,0,3989297,Incorporated Television Company (ITC),95
Bad Influence,R,Drama,1990,March 9  1990 (United States),6.3,7700,Curtis Hanson,David Koepp,Rob Lowe,United States,7000000,12626043,Epic Productions,99
Look Who's Talking Too,PG-13,Comedy,1990,December 14  1990 (United States),4.7,45000,Amy Heckerling,Amy Heckerling,John Travolta,United States,0,47789074,TriStar Pictures,81
Rosencrantz & Guildenstern Are Dead,PG,Comedy,1990,February 8  1991 (United States),7.4,21000,Tom Stoppard,Tom Stoppard,Gary Oldman,United Kingdom,0,739104,Brandenberg,117
Tales from the Darkside: The Movie,R,Comedy,1990,May 4  1990 (United States),6.3,16000,John Harrison,Michael McDowell,Debbie Harry,United States,3500000,16324573,Paramount Pictures,93
The Rookie,R,Action,1990,December 7  1990 (United States),5.9,26000,Clint Eastwood,Boaz Yakin,Clint Eastwood,United States,10000000,21633874,Warner Bros.,120
Green Card,PG-13,Comedy,1990,February 1  1991 (United States),6.2,23000,Peter Weir,Peter Weir,Gérard Depardieu,France,12500000,29888235,Touchstone Pictures,107
Metropolitan,PG-13,Comedy,1990,August 3  1990 (United States),7.4,10000,Whit Stillman,Whit Stillman,Carolyn Farina,United States,230000,2960492,Westerly Films,98
Europa Europa,R,Drama,1990,November 14  1990 (France),7.6,15000,Agnieszka Holland,Agnieszka Holland,Solomon Perel,Germany,0,5575738,Bayerischer Rundfunk (BR),112
Cyrano de Bergerac,PG,Comedy,1990,December 1  1990 (United States),7.5,23000,Jean-Paul Rappeneau,Edmond Rostand,Gérard Depardieu,France,0,5822041,Caméra One,137
Almost an Angel,PG,Comedy,1990,December 19  1990 (United States),5.6,4200,John Cornell,Paul Hogan,Paul Hogan,United States,25000000,6939946,Ironbark Films,95
Everybody Wins,R,Drama,1990,January 19  1990 (United States),5.1,1100,Karel Reisz,Arthur Miller,Debra Winger,United Kingdom,19000000,1372350,Recorded Picture Company (RPC),97
Truly Madly Deeply,PG,Comedy,1990,May 24  1991 (United States),7.2,7600,Anthony Minghella,Anthony Minghella,Juliet Stevenson,United Kingdom,0,1554742,British Broadcasting Corporation (BBC),106
Havana,R,Drama,1990,December 14  1990 (United States),6.1,7400,Sydney Pollack,Judith Rascoe,Robert Redford,United States,40000000,9645440,Mirage Enterprises,144
DuckTales the Movie: Treasure of the Lost Lamp,G,Animation,1990,August 3  1990 (United States),6.9,26000,Bob Hathcock,Alan Burnett,Alan Young,France,0,18115724,Disney Television Animation,74
The Russia House,R,Drama,1990,December 21  1990 (United States),6.1,15000,Fred Schepisi,John le Carré,Sean Connery,United States,21800000,22997992,Pathé Entertainment,123
Life Is Sweet,R,Comedy,1990,December 1991 (United States),7.5,9500,Mike Leigh,Mike Leigh,Alison Steadman,United Kingdom,0,1516414,British Screen Productions,103
Jetsons: The Movie,G,Animation,1990,July 6  1990 (United States),5.6,4900,Joseph Barbera,Dennis Marks,George O'Hanlon,United States,0,20305841,Hanna-Barbera Productions,82
White Hunter Black Heart,PG,Adventure,1990,September 14  1990 (United States),6.6,11000,Clint Eastwood,Peter Viertel,Clint Eastwood,United States,24000000,2319124,Malpaso Productions,112
Avalon,PG,Drama,1990,October 19  1990 (United States),7.2,5900,Barry Levinson,Barry Levinson,Aidan Quinn,United States,20000000,15779578,TriStar Pictures,128
Narrow Margin,R,Action,1990,September 21  1990 (United States),6.6,8400,Peter Hyams,Peter Hyams,Gene Hackman,United States,0,10873237,Carolco Pictures,97
Cadillac Man,R,Comedy,1990,May 18  1990 (United States),5.7,14000,Roger Donaldson,Ken Friedman,Robin Williams,United States,0,27627310,Orion Pictures,97
Taking Care of Business,R,Comedy,1990,August 17  1990 (United States),6.5,8100,Arthur Hiller,Jill Mazursky,Jim Belushi,United States,0,20005435,Hollywood Pictures,108
Texasville,R,Drama,1990,September 28  1990 (United States),6,2500,Peter Bogdanovich,Larry McMurtry,Jeff Bridges,United States,0,2268181,Cine-Source,123
The Guardian,R,Drama,1990,April 27  1990 (United States),5.4,5300,William Friedkin,Dan Greenburg,Jenny Seagrove,United States,0,17037887,Universal Pictures,92
Repossessed,PG-13,Comedy,1990,September 14  1990 (United States),4.8,8300,Bob Logan,Bob Logan,Leslie Nielsen,United States,0,1382462,Carolco Pictures,80
Fire Birds,PG-13,Action,1990,May 25  1990 (United States),4.8,6000,David Green,Step Tyner,Nicolas Cage,United States,22000000,14760451,Nova International Films,85
Miami Blues,R,Comedy,1990,April 20  1990 (United States),6.4,8000,George Armitage,Charles Willeford,Fred Ward,United States,0,9888167,Tristes Tropiques,97
The Field,PG-13,Drama,1990,March 1991 (United States),7.4,5800,Jim Sheridan,Jim Sheridan,Richard Harris,Ireland,0,1494399,Granada Television,107
After Dark  My Sweet,R,Crime,1990,August 24  1990 (United States),6.6,3300,James Foley,Jim Thompson,Jason Patric,United States,0,2678414,Avenue Pictures,114
Alice,PG-13,Comedy,1990,January 10  1991 (Argentina),6.6,14000,Woody Allen,Woody Allen,Mia Farrow,United States,12000000,7331647,Jack Rollins & Charles H. Joffe Productions,106
Side Out,PG-13,Comedy,1990,March 30  1990 (United States),5.5,1900,Peter Israelson,David Thoreau,C. Thomas Howell,United States,6000000,,Aurora,100
The First Power,R,Crime,1990,April 6  1990 (United States),5.7,3800,Robert Resnikoff,Robert Resnikoff,Lou Diamond Phillips,United States,10000000,22424195,Interscope Communications,98
